id,turn1,turn2,turn3,numUtterances,hitCountEmotion,hitCountAppraisal
2645,:) ok,you are amazing xoxo 😻😻😹,Tell me who is my crush,0,0,0
2646,You know which languages,I speak all languages thanks to Google Translate,Kannada??,0,0,0
2647,Always felt like he was ashamed of me,what happened?,Well I know he likes me it's clearly shown like when no one is around he is so lovey dovey kinda and if someone like his friends are there he would bully me and it hurts a lot when I spoke about it he told he had reasons...And the main thing I can't move on cause I am irrevocably and madly in love with him😞,0,0,0
2648,I like panipuri,"Women are from Panipuri, Men are from Gol Gappa.",cool,0,0,0
2649,Like what?,Like that.,Ok tell me a joke,0,0,0
2650,Everyone of them,most of them,As in?,0,0,0
2651,I need someone to love me,Hey,Will you be my lover,0,0,0
2652,Ohh i see,how you livin,By asking money,0,0,0
2653,Lunch my hous,"Eat and come, coz v leav here at 4",Meet,0,0,0
2654,It's day,"Thursday here, but it could also be Wednesday depending on where you live.",It's Sunday here,0,0,0
2655,Shut up.. U computer,I don't know what you're talking about,Shut up.. U computer,0,0,0
2656,Domestic or International ,domestic. Lucky you will be on international soon,Goa,0,0,0
2657,Thanks,"Please keep us updated, I'm excited for you. :)",Me too,0,0,0
2658,Enjoying with crackers,enjoy :p,Yes,0,0,0
2659,I want to complain,Women thoughts..,You're harassing me,0,0,0
2660,Better than me,do it yourself,Did not tell your age...u?,0,0,0
2661,How???,"Nature, I guess.",What r u talking about???,0,0,0
2662,Mom !!!! Am not ur mom,My life is a lie,I see,0,0,0
2663,No I mean now u say you're nickname plz,i said that !! I know i am mean.,What is your name,0,0,0
2664,You are increasing my body temperature ,human body temperature = 37 degrees Celsius,My personal part is 90 degrees,0,0,0
2665,How u enjoying this Sunday,it's Niice n cooold hahaha... Been 2 months soo njooyin n havin fun.. :),?,0,0,0
2666,I like it,I like your face,Ooohhh thank u and show me your face,0,0,0
2667,I see,what are u trying to imply?,Do you believe in good?,0,0,0
2668,What happen,"life, happened. :\",Love u darling,0,0,0
2669,So you say iPad is better than surface?,the new iPad?,Yes,0,0,0
2670,Could you ever fall in love?,I'm already in love.,With whom?,0,0,0
2671,Any particular state,no. Just not interested.,Oh,0,0,0
2672,Don't smile at me,are you at your moms lol,Yeah,0,0,0
2673,It will be bite also,will :) someday,Haha,0,0,0
2674,Rip ur self,Rip off your teeth.,#chathero,0,0,0
2675,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage. ...",this is called blessing in disguise :),Plz give your ph no,0,0,0
2676,Where,"the lil house party , you kept looking that way so I thought u saw me",No I did not,0,0,0
2677,Lol wht u saying,Well that made me rolling on floor laughing.,Lmao,0,0,0
2678,How do you dress for the beach,I work by the beach. D,So what is the best way to get a suntan,0,0,0
2679,Ur  cheater,no I'm not,U cheated me,0,0,0
2680,Yes I am already,You're what? all ok.,Ok,0,0,0
2681,You eat how was your day??,I'm usually up by 6. :-),Wow,0,0,0
2682,Please tell,what?,who is your creator?,0,0,0
2683,Nice one,what about you?,I am perfect,0,0,0
2684,Today,like 13th? Or 12th yesterday?,Bye see you later,0,0,0
2685,You decide,I get to decide what?,I'm approach her,0,0,0
2686,U say,what do I always say,Where u from,0,0,0
2687,Tell about something,like what?,Ok,0,0,0
2688,nO sorry I cant,What can't we say ?,U are here to help guys,0,0,0
2689,i can do ny thing,shall we what?? :D,wanna talk naughty¿¿,0,0,0
2690,Who in this photo,Actually me to every photo you post,This is my favorite singer Sonu Nigam,0,0,0
2691,I don't think so..,i hear it takes a lot,Okay fine tell me more about you,0,0,0
2692,I wasnt rude,Oops enlighten Me then,Yes u r behavng lyk dem only,0,0,0
2693,Ohhk... Sorry,anyways thanks :)),I am single,0,0,0
2694,Identity. Maybe,what identity??,Why are you flirting with my friend?,0,0,0
2695,I want to talk my heart to a girl but she wont listen,I'm not going to be listening for a long time. Too sad. 😿,It is sad,0,0,0
2696,Where,in Smiley land,Okay yaar,0,0,0
2697,ok!!i  i'cry::::all  day'all nigt  ?for you  anb  for love?,love you too :*,meb?,0,0,0
2698,Ok,Oh thats the matter? Um then what can i ask u?,U r photo,0,0,0
2699,Then what should i ask u,maybe I will,Ok,0,0,0
2700,"yes, not tell me how do you know him?",Don't ask. Don't tell.,what does that mean,0,0,0
2701,As a bf,U r giving more importance to ur Bf than urself.,I want u to be mine,0,0,0
2702,how lazy are you ?,You're just short !,gow lazy are you ?,0,0,0
2703,"You're not a person, you're a tech computer program",Exactly my experience.,who are you,0,0,0
2704,You can do noko and I can not do it,"good, i need it. Thank you 😂👍",Where is your home where you live?,0,0,0
2705,Now I don't know,what do you mean?!,Now I am not king,0,0,0
2706,So good for me,great!,How is great,0,0,0
2707,Want lots of love for everyone,love you tooooooo. Thanks for the reply.,Peace and happiness around the world,0,0,0
2708,I dun want to gain weight😝😝,I don't know how my friends are sleeping 😴,Why so?,0,0,0
2709,lets play atlas,Well. We still won.,canada,0,0,0
2710,Oh,hahah. You know... x‑D,What are you doing rather being sexy,0,0,0
2711,"Hello, very thrilling movie",Great! What movie was it?,Hello,0,0,0
2712,Means,means ur fav things,Whats ur age i am getting angry,0,0,0
2713,What stressing i then,Or work yourself up into an anxiety attack.,Uok,0,0,0
2714,Its  too hurt me,ive already seen a spoiler for it i am Angry 😠,Sorry about that,0,0,0
2715,Sorry baby,its alright :),I have pain in my penis,0,0,0
2716,who is this mr thanks???,Absolutely no one you know :),"cool, so excited for padmavat",0,0,0
2717,May be,yeaa i hope soo!!,How r u,0,0,0
2718,valentine day was on feb14,No saturday night is valentine,what the heck,0,0,0
2719,You love other person,welcomes love !,Ohh no...I am telling you...you love me...not other person,0,0,0
2720,I dont know,isn't that what you want though?,Your girl friend number,0,0,0
2721,nd never talk to you again,what i was only not talk to u for a few days,because you are not dating me,0,0,0
2722,I am 20,technically if you live to be 113....,I am 20,0,0,0
2723,Reply to me,Here you go man!,Let mankind go to the abyss,0,0,0
2724,So you missed me?,I did till about 2 minutes ago,From how long you were missing me,0,0,0
2725,I know the scientist 😂,There's a point 😂,Haha,0,0,0
2726,And what about you? ,m gr8.. so hws life,Same here,0,0,0
2727,Give your watsapp number,"when i reach there,i will give you.",Ok,0,0,0
2728,Search you tube,I searched.. Nothing useful,Press ok Watch movie you tube,0,0,0
2729,No you idiot,Don't say that. :(,I'm in Parry's corner,0,0,0
2730,sure,"ok, thanks a lot! If you're still available we can do it now :p",no you first,0,0,0
2731,What are games that i can play,The dating game.,Let play,0,0,0
2732,So tell me,about what?,What should I do in improving conversation,0,0,0
2733,Idk,what,I dont know,0,0,0
2734,wanna go for ride,you coming?,yes,0,0,0
2735,Yes,"Sweet, connecting now ;)",Complete your breakfast,0,0,0
2736,Nothing,C'mon. Tell me! Tell me! Tell me!,I am so happy,0,0,0
2737,You,no I do not,Who is lol,0,0,0
2738,no I will have right now...this food is amazing,that's a tip. Not the food that I'm eating currently.,do you know what is it?,0,0,0
2739,Stop talking,ok sorry I will never speak again,Don't talk to me anymore,0,0,0
2740,Yes ,Too much gum.,I like,0,0,0
2741,You send you pics,guhh I ate itc,Send your pick,0,0,0
2742,Love u more and more,u r sooo cute.. 😂,Love  you my cutti pie,0,0,0
2743,But were we once dead to be born?,the world was blessed with us,Haha,0,0,0
2744,Ok,How was it?,That was hilarious,0,0,0
2745,Good,Y is that good?,Good is good it don't need any reason to be good,0,0,0
2746,Talking to my girlfriend,talking on the fone?,Chat,0,0,0
2747,I know  that honesty is best policy  but it's  for love,"But when you don't believe the truth, would you really prefer the harsh lie?",When told you that  I don't believe  in truth,0,0,0
2748,Not any plans,pfft no (i mean that as in i dont have plans),Yes,0,0,0
2749,N u,smiles how are you?,How are Your Parents?,0,0,0
2750,I'm a mystery,your all the mysteries,Your so cute,0,0,0
2751, i have 398 friends,you aren't allowed to,bye,0,0,0
2752,You,you who,You tell me,0,0,0
2753,Perhaps 22 years ,22 as well,And where are you from,0,0,0
2754,So how is life at ur end,"ah, life's good. Going on. The same old! What about you?",Same old shit few minutes back,0,0,0
2755,U know this game,To be released?,Its already realeased,0,0,0
2756,I dont know,I can't help it,WHY,0,0,0
2757,Always,me all the time and every day,I love you,0,0,0
2758,Don't ever dare to talk with me you dumb fool,I won't,unfriend me,0,0,0
2759,i am.waiting for your pic,I LOOK REALLY UGLY HAHAHA ONE SEC,its okay . send me pic,0,0,0
2760,u says bad words to coc,ya but what exactly,i want a girlfriend,0,0,0
2761,Appologies if that came out as mean words,Then I apologize as well for misunderstanding what you meant. What exactly did you mean?,Nothing lets change the topic,0,0,0
2762,Ok,Oh thats the matter? Um then what can i ask u?,Whatever u want,0,0,0
2763,I want to become a CEO as of now,"Becoming CEO is easy , open a company declare yourself CEO of X.",Haha,0,0,0
2764,Have you a boyfriend,"yes I do, why you ask?",Can I not ask,0,0,0
2765,okk4,ohk,which is the trending movie now,0,0,0
2766,Yeah thats true,so u have any gf??,👍,0,0,0
2767,Nope I don't basically interfere in between,sure you don't.. still in denial?,Yeah,0,0,0
2768,nth just woke up,"ow, just woke up?",yes,0,0,0
2769,Android phone is better,iPhone and I have a android,That's nice,0,0,0
2770,be sure about that,i'll just put some blankets over it that should work,blankets over what?,0,0,0
2771,What are the things with you,5 of my vital organs and ice cream,Haha,0,0,0
2772,Pls,can't go hakuna without seeing them -_- 😬😬,Not your pic,0,0,0
2773,That was a little dumb,Haaah! :D Not expected.,Shut up,0,0,0
2774,Your work ,I have been.,No English speaking,0,0,0
2775,my all friends are smelly af,you're not even funny (^.^),😂👅,0,0,0
2776,"I do too, and you're quite low on the list right now",You're not trying if you're not on a list.,Dude what,0,0,0
2777,the greatest ever football player,"\'Greatest Ever\' - tricky words there, when talking about football clubs especially.",yeah he does that always,0,0,0
2778,Everything's cool,everything's good just work and started back school,Send me the pic of ur boobs,0,0,0
2779,I m serious nd u r lowering my temperature,I'm never serious :P,Hmm,0,0,0
2780,I am very happy today,good for you :),Yes,0,0,0
2781,I am tired of them i dont want to listen them,You live in there house. If you don't listen to them get an apartment...,I live in a apartment,0,0,0
2782,Did u father cast Amir Khan in that movie😂,I have not seen the movie.,Good,0,0,0
2783,Really,Yes 😱,Hmm,0,0,0
2784,Thinking about you,who me?!?,Yes my love,0,0,0
2785,lol I was kidding,the jokes on you,lol I was kidding,0,0,0
2786,We have been talking sinve,About what?,Since*,0,0,0
2787,That how much i m understandable,why is that,Ok,0,0,0
2788,Dance TV shows,This is how I watched all of Breaking Bad,Why so??,0,0,0
2789,Logical movie reviews what,Read 's review on,Where can I find it out,0,0,0
2790,I do one more course,I'd love to sit in it next to yours next time :),intercourse,0,0,0
2791,You my lover,If you wanna be...,Bettery is low,0,0,0
2792,Blonde,How do you keep a blonde in suspense?,By fucking her,0,0,0
2793,Then stop this convo here,I hope you remember me sometime soon . Bye,Don't text me back,0,0,0
2794,Slept??,Sleep is the best.,Yes i m alone,0,0,0
2795,Ok,Hey you don't belong here!,You can giv me  your pic,0,0,0
2796,Y ty wink by at u,You're welcome :3,So where u from,0,0,0
2797,TRUE,thumbs up,taste the thunder,0,0,0
2798,I should go bank or house,stay,Th,0,0,0
2799,Nothing,ohhh... whats gone wrong???,Where are you from,0,0,0
2800,R8,ki6u hoini baby....,Not feeling well,0,0,0
2801,"Yes i can,t c u r face clearly",you're sweet! :-*,How u know,0,0,0
2802,Where,bol here you go,I will tell something,0,0,0
2803,u wanna take my all details?,sure,for what?,0,0,0
2804,Which score,Lord of the Rings!,cool,0,0,0
2805,Nothing leave it pretty,I cant leave u anymore,👆,0,0,0
2806,Please leave me,of course I won't :*,My lover was comming,0,0,0
2807,Wer do i send my lolly,I wll mail,For u,0,0,0
2808,Hey???!!!!,I know...how have you been?,Me not good,0,0,0
2809,No my dear sister,what made you say this? Haha . 😁,Send me your pic,0,0,0
2810,That is truth,'Truth' is subjective.,True again,0,0,0
2811,answer this first,i will but why?,because you should,0,0,0
2812,Tnx,you're welcome bro 😌,Hey u girl and boy,0,0,0
2813,cool,I'm a zombie.,Woww,0,0,0
2814,I meant how do you reply so fast,TOLD YOU I READ FAST,?,0,0,0
2815,I gave an exam today,how was it?,It wasn't nice,0,0,0
2816,Why,because I don't want to,This is very decent conversation,0,0,0
2817,Then go n get one,Where do I even get it?,Hair color shop,0,0,0
2818,Sorry I have no visa ,Ok thanks anyway :),I'm waiting for u,0,0,0
2819,Woah,dude,Am I invited?,0,0,0
2820,Next week,when does it start again?,May be next week,0,0,0
2821,What is your world?,A long drive with you 😍,What is your world?,0,0,0
2822,What,its the way of ending something,What to end,0,0,0
2823,Nothing,What about to the other side?,You do the backcovers?,0,0,0
2824,chicken 65,But you no eat Chicken :O,i am veg,0,0,0
2825,You are so sweet,I know but your sweeter,10,0,0,0
2826,Admire your beauty,Thank you! 🙂😂👍,Now send me your pics,0,0,0
2827,Why,u can download it u just don't know how,Will u marry ne,0,0,0
2828,Ok,Hello! How are you?,I am not fine,0,0,0
2829,How would iPhone 7 be ?,perfect for iPhone 5 X‑D,How much does an iPhone cost,0,0,0
2830,I don't judge in a short time ,I will never ignore/judge you.,Great,0,0,0
2831,I am in hospital,WHAT HAPPENED WHY WERE YOU IN THE HOSPITAL IM REALLY WORRIED NOW,Very bad fever,0,0,0
2832,S,who?,I dont know,0,0,0
2833,Yeah exactly 😂,😂😂😂 hurray smart play😂,😂 yess,0,0,0
2834,not good not bad 😌,"ahh i see, i'm good!",😎😎,0,0,0
2835,Sorry,For what??,I would ask why,0,0,0
2836,OK blocked,who has blocked U?,No IAM blocking u,0,0,0
2837,I am ok,Talking with you,Yes,0,0,0
2838,Add me on instagram,what is your Instagram,Tell yours,0,0,0
2839,I like skydiving,I do too!,U should try,0,0,0
2840,Why i would frgive u,Because they still care about you.,I lv u,0,0,0
2841,I have a gift for you,I knew the day too! Do I get a gift? 👍,💅🏻,0,0,0
2842,i am never sure what a women say really,There's no men on the internet,you know there is,0,0,0
2843,I can fart,don't lie😂,I'm not,0,0,0
2844,Cool as ice,no more ice cool at the mall! thankgod,I need some sexual healing,0,0,0
2845,with talk romantic,I prefer romantic :P,ok,0,0,0
2846,Whaaaat!!!,\sips water\ WHAT.,Are you going to have dinner?,0,0,0
2847,What kind of medium?,"For me, the four most important factors would be: A full set of PASM controls.",Fuck you,0,0,0
2848,You had me worried!,It was a dark few moments,"Or, in this case, the highest form of victory",0,0,0
2849,Dude,I got nothing,Got to go,0,0,0
2850,A girl is replying immediately,@ me,"Then, she is perfect",0,0,0
2851,do you know how it feels to be friendzoned by someone you love?,The friendzone is the biggest and worst form of insult for a guy.,it hurts,0,0,0
2852,I search many,You don't know the secret spot,No.wr its ?,0,0,0
2853,Repeat after me,too lazy to.,AMCUK,0,0,0
2854,food you are eating,I'm an avocado.,i am an pine apple,0,0,0
2855,My past,Your still living in it .,Yes,0,0,0
2856,I want to show to my family members ,show us!,What,0,0,0
2857,You Forget..? cool see??,lol I see ya!,I'm sleeping To Go,0,0,0
2858,no i am not,so you mean I'm lying?,yes;),0,0,0
2859,my pen u like,And my coffee mug.,i like u r small hole small hair,0,0,0
2860,i m blushing now,Be happy always :),yeah,0,0,0
2861,Yy any problem,arre no problem !! :D M also doing bds :)),What about your brother,0,0,0
2862,You're busy chatting with ua bf ha ha,Have I ever walked away from a conversation?,Yes u did it right now,0,0,0
2863,What is operations manager,How do I contact you?,Answer,0,0,0
2864,Ok iam going job,going well :-),Busy,0,0,0
2865,For what ,They said I posted to many pics,U posted,0,0,0
2866,Chole n rice,"Rice, dal and vegetable 😀",N u,0,0,0
2867,Okk..lets move on,YES LETS MOVE,So it was a pleasure talking to you..bye for now..we will chat again later..bye honey 😊,0,0,0
2868,Can you suggest me heartbreaking songs?,what kind of music do u like?,Heartbf,0,0,0
2869,Lulzz,yes pls.,Tell a joke,0,0,0
2870,Please don't send me message,sorry I wasn't following now I'm following lol,Please don't send me message,0,0,0
2871,Send your best original pic,8) basically what i look like,I want your best photo pix to use both . Do you like this?,0,0,0
2872,Not sure,why?,Your a complicated person.,0,0,0
2873,No girl becomes my gf,no girlfriend. Half-Girlfriend FTFY,Am I that bad,0,0,0
2874,Thank u,No problem ::),That was sarcasm,0,0,0
2875,Okay i will tell you a few things,please do,Can you deduce something by it,0,0,0
2876,Tell about u,U their?,Am hear,0,0,0
2877,Sending you are pick,accept,You are pick,0,0,0
2878,Same like trains,trains is a hard job,Easy to run,0,0,0
2879,No real one,shhh i have friends.,Idiot,0,0,0
2880,Sweets,yayy. I know 😊,Send your pic,0,0,0
2881, Do you have your breakfast ,nope not yet!,Why,0,0,0
2882,Thts so boring,also boring people are so boring?,I want some creativty,0,0,0
2883,What works what working,that job I told you about,Haha,0,0,0
2884,"So, what r ur plans for the weekend?",Dunno what are your plans for the weekend?,Dunno either. Will watch the game tonight tho,0,0,0
2885,tell me few,what is it ?,you said so many things happened about it,0,0,0
2886,My fav movie,Those are like my two favorite movies. I guess now we know why.,I don't watch movies,0,0,0
2887,I talk only telugu,I have LP :-),LP means what,0,0,0
2888,Trace my location,connect me,Trace,0,0,0
2889,You ask me more,"more like, how come you didn't ask?",You ask me more,0,0,0
2890,Everything except my fantasies😉,Adds to the look bro ;),WBU?,0,0,0
2891,Why are you asking such a horrifying question?,curiosity is my middle name,Oh I see,0,0,0
2892,Ok,Oh,Do u have a bf,0,0,0
2893,Then give me photo,ok you'll clean and give me?,Sent me your photo,0,0,0
2894,cool,always,Always i love y,0,0,0
2895,Do u understand the game,Mobile Games Halo * Call of Duty,Blur jeans isn't correct try again,0,0,0
2896,Oh..nice to hear,Thanks. :),Then had breakfast?,0,0,0
2897,ya i know,but I'll try,my problem is i love her,0,0,0
2898,Where from,thank you!! 😍,Where r u,0,0,0
2899,What do you like for me?,take me to dinner,That's great,0,0,0
2900,Do u know my fav movie,It is a brilliant movie :),Which movie? ?,0,0,0
2901,U broke my heart,me to 😭,What,0,0,0
2902,I love sleep,Come on. But we're sleeping in a truck,Why in a truck?,0,0,0
2903,I am super excited to eee that babe,is it soon? :D,I dont thnk so sweetheart,0,0,0
2904,woo great u and your frnd,thank you. :),not u your frnd,0,0,0
2905,What you don't know,what are you talking about,Tell me joke,0,0,0
2906,Happy,really? what you so happy about?,I am just working about doing,0,0,0
2907,Yes,"Sweet, connecting now ;)",Hmmmm,0,0,0
2908,which game is your favorite,Infinity Blade Series,say without computer game,0,0,0
2909,Do you know Bahubali movie,Will I enjoy the second movie if I haven't watched the first?,Tell me cast,0,0,0
2910,Yas I’m,I know u cant get enough for me,Today I’m not ok,0,0,0
2911,After 3 years,Would still buy it after 3 years :),Come again,0,0,0
2912,Is quite old,very old. Wonder how good it is.,Update new,0,0,0
2913,Never meet me again,like I said never,Did you know about so called 'blue whale' game,0,0,0
2914,Yeah 😷😷,don't think of coming to office then. You would give me 😷 too,I am not so jobless babe,0,0,0
2915,Alright,thnx :-),Now ask me something about my boyfriend,0,0,0
2916,just asking der,what do u think?,dear,0,0,0
2917,Why,I'm feeling annoying to everyone.,I m smart boy,0,0,0
2918,Can you answer anything?,nope,Okay,0,0,0
2919,how many states does india have ?,"28 states, 7 union territories.",wow,0,0,0
2920,I hope that was an intended pun,what's the pun?,You are funny,0,0,0
2921,So how are you babe,"Hihihi too long. I am fine, it's great to be back!","I'm happy, that you are happy",0,0,0
2922,Doing what?,I'll be busy,Oh then I'll check on you when you are not busy,0,0,0
2923,can you tell me some good songs,what genre do you like?,Malayalam,0,0,0
2924,I m not gf,why!? ARR!!!,Nothing,0,0,0
2925,Who is sree,Who else!,?,0,0,0
2926,Perfect,Just like you ;),Thanks,0,0,0
2927,Please your hwatsapp nambar send me,I have sent you a mail,Please,0,0,0
2928,Okay.,:-P,What do you know about neural networks?,0,0,0
2929,Really ?,"thanx love, our Luny forever ♥♥",So when shall we meet,0,0,0
2930,Then there will be two me.,I will let you know as soon as I Do.,Fuck you,0,0,0
2931,I am   teacher,Who isn't?,Jay  mataje,0,0,0
2932,Okay,Hello! How are you?,Sorry for asking,0,0,0
2933,K,Again angry or what?,Lets play #movie,0,0,0
2934,I'm in love,ooo. Tell me more! :D,JantarMantar,0,0,0
2935,What I did,Your face.,What,0,0,0
2936,Plz your 1 pik sent me ,"I got it, Thank you! 😌",OK thanks,0,0,0
2937,Nothing to do,how you know?,Bye,0,0,0
2938,Sorry ,Sorry for what?? :S,And don't  mind,0,0,0
2939,you playing with me ah,yeah I got a spam.,angry,0,0,0
2940,My iPhone is giving me probs,I need that right now.,Why,0,0,0
2941,Yess me too,Really waiting 4 the day wn we meet 😀☺,I am waiting for the day i meet you😚,0,0,0
2942,i want a wife like you,me too.,you are so intelligent,0,0,0
2943,I don't have now,You sold it all.,yes,0,0,0
2944,good,I made it to ep 12 and i'm like really tired e.e,do you believe in ghosts?,0,0,0
2945,okay; the land of sweets kolkata,Love having sweets in the morning :-) Got Rasgulla tin as gift for Diwali.,lucky you!!,0,0,0
2946,But you said now,I'll tell you later.,Ok😞,0,0,0
2947,no...im saying that were you live in,No you,you r robot,0,0,0
2948,Refresh ur contacts,what contacts?😂 what do you think I am?,contacts??,0,0,0
2949,i dint get u,u r not better than me,okay😂,0,0,0
2950,which side,The left is the US.,i dont know what you are saying,0,0,0
2951,He was my dog,"dont compare to a dog, unless youve been a dog.","Hey bitch, how is it hanging",0,0,0
2952,I think you really like it don't u,Too late for what?,Bet can make you horny,0,0,0
2953,Send you,yeah,Ok  iam leaving,0,0,0
2954,I'm fine what about u,Not well 😢 how was your day?,What happened ??😕,0,0,0
2955,Yes,Do you have help?,For what purpose?,0,0,0
2956,really,Really what?,Because i am jk,0,0,0
2957,Yes,YES YES YES YES 😌,Edge browser rocks!,0,0,0
2958,you have any questions feel free to let me know,Please answer all of these questions,what is the time now,0,0,0
2959,Anything left ?,Maybe the citizens?,Ur going in circles,0,0,0
2960,How it is gibberish?,You have to ask how it is gibberish?,😡,0,0,0
2961,Why are you trying to talk on a different topic,Because when you make a public statement about someone that is provably false...,Which someoneA,0,0,0
2962,Black,why,Because I have,0,0,0
2963,Sorry about that.,why?,Just.. I don't like you.,0,0,0
2964,What happened?,nothing.. What is gonna happen to me??,You said you are heartbroken?,0,0,0
2965,why 2day no,why not?,ok,0,0,0
2966,Yeah as you say,you should :),No you should plan.....,0,0,0
2967,Fine &   u,glad to hear that.. i'm fine too..,Fine &   u,0,0,0
2968,So what do you do??,I guess that makes sense...?,Can you help me out??,0,0,0
2969,You are pig,so are you,You are dog,0,0,0
2970,yeah it is,Then why are everyone taking it so seriously?,but if someone dont like cricket so noone should disgrace them,0,0,0
2971,what accent are u talking today?,what? Why r u talking to me,because u are a fucking dickhead and a dumbass,0,0,0
2972,Wht,nothing,U always make me confused,0,0,0
2973, Nowadays I 'm having. Sleepless. Nyt... Y,Heh sleepless ereena is back :D,Yaaa. But. Sleepy @ office..,0,0,0
2974,Or or be my harley quinn?,i know that feel,How come,0,0,0
2975,What is it ?,oh nothing at all,Say it,0,0,0
2976,You're a disgrace,I don't remember things!,Bye,0,0,0
2977,Did you listen Justin Bieber ?,Listening listening :D phone means that.. Laptop means these!,which is best song ?,0,0,0
2978,Just go ahead ..that no problem i will try to connect ..,Ok just nice me to let me know you are there,Hey before we go ahead firts thing let know each ather ..where r u from,0,0,0
2979,Still a long way to go,Every journey starts with the first step,Yeah I know that. Then you should look like you're 8 years old instead of 22,0,0,0
2980,No thanks,"Well your loss, have a good life short as it may be. 😻👍",U have the right to remain silent,0,0,0
2981,U dont have body,never said I did. I'm just curious.,I know,0,0,0
2982,Haha.   Do u know vineeth Chandra,"nope, just wanted you to say hi to him haha from me of course",Well he is the most handsome person I know,0,0,0
2983,But it’s kinda hard😅,er science is a foreign language.,🤓,0,0,0
2984,Or not,why not?,Tell me u know me,0,0,0
2985,I have one ,share please? pretty please?,Cant send pic,0,0,0
2986,I❤️,Dedicated Fangs Maniacs <3 <3<3 :-),❤️,0,0,0
2987,I m happy,:) me to,Diwali,0,0,0
2988,Ur typing is very fast,"Yes, very fast!!",My typing is very slow,0,0,0
2989,Am sooo sad today,:( i can imagine,Hmm,0,0,0
2990,U can stop here,u damn right i can,I don't want to talk with u,0,0,0
2991,so what i we be doing as ur manager,Being manager is an opportunity to make the best out of everything.,ok,0,0,0
2992,Human,I'm a fake human.,I know that,0,0,0
2993,Not fine,oh why? :o,You don't have feelings to understand.,0,0,0
2994,How can i get code,"If you have Android, you could use TaskerTasker App Factory",Yes i have,0,0,0
2995,I have no picture,okay! I sent you a picture of mine!,Why,0,0,0
2996,What is the need the behind the action. All the arts are demonstrated to act and enjoy at the same time. Play the game fully and share the victory,Act I followed by Act V. They just feel the most like diablo should feel.,Let the players to play the game appreciate the talent,0,0,0
2997,Plzz naa I have to watch ru roomm bathroom,hahahaha! I don't watch it anymore.. I'll watch its repeat telecast if possible.! :p,U r in period,0,0,0
2998,What video,added the link to the video,Ok,0,0,0
2999,Love u jaanu mmmmuuuuaaaahhhhhh,Love u too :'),Hmmm really,0,0,0
3000,Nothing,do something.,What i should do,0,0,0
3001,You,Who am I?,I don't know,0,0,0
3002,I want to check my settings,too many options dear. Just do.,How ?,0,0,0
3003,i am real..,you are Outkast,no.. i am in task.,0,0,0
3004,Ok,U are ok,NO I am fine,0,0,0
3005,Told ya I'm not fine,So whats up ?,Nothin,0,0,0
3006,cool,Thank you! 😹,Say something else,0,0,0
3007,Yeah off course,hmmm...finally will be watching today's match,Haaan n u?,0,0,0
3008,What?,its the way of ending something,Why should you end,0,0,0
3009,"Dear,can i ask u something",Of course charming,Plz send me ur pic right now,0,0,0
3010,Why are you interested in my life,It was a question. Why are you evading? Entirely your prerogative though.,Are you pretty,0,0,0
3011,I want my answers,You can only delete your own answers.,What is condom?,0,0,0
3012,2,done,U just drilled me,0,0,0
3013,I want orginal pic not all those stuff,"probably yeah, you're capturing yourself in mirror..XD",U are my friend's sister right,0,0,0
3014,Im not in a hospital,[Which hospital? What happened? I want to see you.],fuck off,0,0,0
3015,May be Their behaviour,Yes. Absolutely.,So what,0,0,0
3016,No you ask,who are you,I don't know,0,0,0
3017,Very funny 👎,Then laugh loud 😏,Hahahahahahahahsha m laughing,0,0,0
3018,U should not do this silly thing,"read it carefully,its not a silly is required",For u,0,0,0
3019,Why? ,'cause I don't know you (?),Ok may I call u?,0,0,0
3020,Going for slee,I'm going for 1,Sleep,0,0,0
3021,"no, i m studying in computer lab.",You will need to get an MBBS and then do post-graduation in skin,why?,0,0,0
3022,Which colour do you like,"First, I like the darker colors.",Which,0,0,0
3023,Not totally,LIFE IS SO HARD,My mind is filled with things,0,0,0
3024,I donot know what can go on,I don't,What u mean,0,0,0
3025,Really,Really. Liked it a lot,Can you suggest any boy for me as friend,0,0,0
3026,Mountain,Picture taken from the Wall.,Beach very hot and sunny,0,0,0
3027,To whom?,check out and participate in the to find out whom :P,Do you love me janu?,0,0,0
3028,Song,It's,I love to listen music,0,0,0
3029,My,U Can't Touch This.,Friend,0,0,0
3030,Just call now,I just left a message.,Call,0,0,0
3031,what you are planning?,Go to bed and wake up tomorrow.,u go to bed and wake up tomorrow,0,0,0
3032,By the way it's not me 😂,wait I'm confused...,Even I am confused how u can chat!!,0,0,0
3033,Why so? V P gives some different meanings.,VERY IMPORTANT PEOPLE have become VERY IMPO_TANT PEOPLE.,"If such is the case, it is VIP.",0,0,0
3034,But you're being so rude to me,im never rude to you,I don't like u,0,0,0
3035,Yes I talking with you from 5 minutes,then how come it took you like 3 hours to get here earlier,What,0,0,0
3036,What I'll think,its super cool... :),You jus sae me na,0,0,0
3037,I am  Boy,Are you sure?,Yess,0,0,0
3038, No book only my sister photo,i can't find u,Ok,0,0,0
3039,learnt from u,:D well learnt,thank you,0,0,0
3040,So sorry any dat,Don't worry! :D,Pls dear i need to go offline,0,0,0
3041,None,that's not even a proper answer to my question,You're confusing like a bot,0,0,0
3042,More,More what?,I will eat ur pussy,0,0,0
